nbits,effective_nbits,n_docs,n_queries,build_time_s,index_mib,search_total_s,latency_mean_ms,latency_p50_ms,latency_p95_ms,metric_ndcg@10,metric_mrr@10,metric_map,metric_recall@100
1,1,5183,300,1092.625182250049,84.95173931121826,24.439244833018165,81.38814802475584,63.10766653041355,188.0401145084761,0.6924137673366666,0.6693320105820105,0.6622526195839631,0.912
2,2,5183,300,1284.5031420409796,84.95173931121826,22.559815415996127,75.1136519323336,69.18202101951465,76.52595598774496,0.6924137673366666,0.6693320105820105,0.6622526195839631,0.912
4,4,5183,300,1261.3970060409629,84.95173931121826,22.722834249958396,75.65020816691685,66.41370849683881,77.80235557875132,0.6924137673366666,0.6693320105820105,0.6622526195839631,0.912
